,id,title,authors,year,n_citation,references
0,2041404167,The Mathematical Theory of Communication,{2247248564: 'C. E. Shannon'},1949,48327,
1,1639032689,"Genetic algorithms in search, optimization, and machine learning",{2102678951: 'David E. Goldberg'},1989,44175,
2,2912565176,Fuzzy sets,{2252586558: 'Lotfi A. Zadeh'},1996,42437,
3,2151103935,Distinctive Image Features from Scale-Invariant Keypoints,{2104328312: 'David G. Lowe'},2004,35541,"[19720318, 1541642243, 1560959218, 1676552347, 1681491849, 1949116567, 2011891945, 2012778485, 2024668293, 2027089475, 2034501924, 2056313036, 2071866949, 2085207288, 2096077837, 2096600681, 2096680898, 2109863423, 2110826265, 2111308925, 2124087378, 2124386111, 2124404372, 2143539328, 2145713909, 2149646227, 2149814923, 2154422044, 2160835070, 2162601563, 2165497495, 2169351022, 2427881153]"
4,2911964244,Random Forests,{2569376642: 'Leo Breiman'},2001,34741,"[1507255258, 1580948147, 1605688901, 1975846642, 2077200366, 2099968818, 2112076978, 2113242816, 2120240539, 2152761983, 2912934387]"
5,1973948212,Applied Logistic Regression,"{2102544963: 'David W. Hosmer', 1990110535: 'Stanley Lemeshow'}",1989,32053,
6,2153635508,LIBSVM: A library for support vector machines,"{2895256545: 'Chih-Chung Chang', 2168176072: 'Chih-Jen Lin'}",2011,31047,"[1510526001, 1543810117, 1556115774, 1568793342, 1621799579, 1775273161, 2011741120, 2036350498, 2047542122, 2056983531, 2087347434, 2096613134, 2097850441, 2100967622, 2104978738, 2110899801, 2115076892, 2115694019, 2119821739, 2124351082, 2132870739, 2137285073, 2137518678, 2137557016, 2138907228, 2139526185, 2140586694, 2141057577, 2145276325, 2151040995, 2151746537, 2157239837, 2161920802, 2172000360]"
7,2156909104,The Nature of Statistical Learning Theory,{2022407533: 'Vladimir N. Vapnik'},1995,28886,
8,1791587663,"Perceived usefulness, perceived ease of use, and user acceptance of information technology",{2427477170: 'Fred D. Davis'},1989,25855,"[157213131, 1520103841, 1778357938, 1972888601, 1979230803, 1988410705, 1990810281, 2006877955, 2007275742, 2008059748, 2008710914, 2011976980, 2021794857, 2033020274, 2037021532, 2053665053, 2071466878, 2092488901, 2127455238, 2142192310, 2154163681, 2169294099]"
9,2119821739,Support-Vector Networks,"{2134830209: 'Corinna Cortes', 2022407533: 'Vladimir Vapnik'}",1995,22276,"[2087347434, 2154579312, 2168228682]"
10,1995875735,A mathematical theory of communication,{2247248564: 'C. E. Shannon'},1948,22122,
11,2103441770,Fast and accurate short read alignment with Burrows–Wheeler transform,"{2596317628: 'Heng Li', 1445484688: 'Richard Durbin'}",2009,21301,"[1603784832, 1972770363, 2017808314, 2055666215, 2072193858, 2091273836, 2096760403, 2097862362, 2101286050, 2106808791, 2108234281, 2108235229, 2111858824, 2121762798, 2128591967, 2128964206, 2129713651, 2139760555, 2143124024, 2153527981, 2158322625, 2170899819]"
12,2126105956,A fast and elitist multiobjective genetic algorithm: NSGA-II,"{2150011549: 'K. Deb', 2120996014: 'A. Pratap', 2175835430: 'S. Agarwal', 1208012566: 'T. Meyarivan'}",2002,21153,"[225560312, 1248696213, 1532399581, 1558919105, 1572960541, 1606791384, 1612556207, 1905847227, 2116661285, 2125899728, 2135864487, 2140066605, 2152551290, 2155019998, 2161055009]"
13,2146058063,MrBayes 3: Bayesian phylogenetic inference under mixed models,"{185284988: 'Fredrik Ronquist', 665787499: 'John P. Huelsenbeck'}",2003,20976,"[2117443107, 2150297520, 2161444534]"
14,2108234281,The Sequence Alignment/Map format and SAMtools,"{2596317628: 'Heng Li', 2298051088: 'Bob Handsaker', 2883906439: 'Alec Wysoker', 2915467136: 'Tim Fennell', 2617619131: 'Jue Ruan', 2229427589: 'Nils Homer', 1927915088: 'Gabor Marth', 2305243664: 'Goncalo Abecasis', 1445484688: 'Richard Durbin'}",2009,20162,
15,2145023731,A Computational Approach to Edge Detection,{2101610026: 'John Canny'},1986,19801,"[128364430, 1968245656, 2002882922, 2016396776]"
16,2161969291,Histograms of oriented gradients for human detection,"{2170199860: 'N. Dalal', 2057410742: 'B. Triggs'}",2005,19433,"[1608462934, 1992825118, 2089181482, 2097041931, 2114319712, 2121899951, 2128981808, 2145072179, 2151103935, 2152473410, 2156539399, 2166770390, 2168108030, 2172188317, 2177274842, 2295106276]"
17,2171074980,A Simplex Method for Function Minimization,"{2034063289: 'John A. Nelder', 2480517110: 'R. Mead'}",1965,19427,"[2022772618, 2026258334, 2070473094]"
18,1880262756,Latent dirichlet allocation,"{2289542319: 'David M. Blei', 2104401652: 'Andrew Y. Ng', 2435751034: 'Michael I. Jordan'}",2003,19392,"[15201044, 1516111018, 1956559956, 2020842694, 2063392856, 2097089247, 2097129520, 2107743791, 2127042504, 2147152072, 2172085063]"
